Index,Reading No,Time,Type,Duration,Units,Sigma Value,Sequence,Flags,SAMPLE,Cu,Fe,Ca,S,Sn,Si,Cl,Mg,Mo,Mo Error,Zr,Zr Error,Sr,Sr Error,U,U Error,Rb,Rb Error,Th,Th Error,Pb,Pb Error,Au,Au Error,Se,Se Error,As,As Error,Hg,Hg Error,Zn,Zn Error,W,W Error,Cu,Cu Error,Ni,Ni Error,Co,Co Error,Fe,Fe Error,Mn,Mn Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Sc,Sc Error,Ca,Ca Error,K,K Error,S,S Error,Ba,Ba Error,Cs,Cs Error,Te,Te Error,Sb,Sb Error,Sn,Sn Error,Cd,Cd Error,Ag,Ag Error,Pd,Pd Error,Bal,Bal Error,Nb,Nb Error,Bi,Bi Error,Re,Re Error,Ta,Ta Error,Hf,Hf Error,Al,Al Error,P,P Error,Si,Si Error,Cl,Cl Error,Mg,Mg Error
28,2618,06/01/2026 17:06,TestAll Geo,122.31,ppm,2,Final,-8mm ,ar-8.3-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,300000,< LOD,300000,4222.81,43.53,< LOD,300000,< LOD,300000,< LOD,300000,180.78,12.19,< LOD,300000,< LOD,300000,64.96,11.74,< LOD,300000,173.85,22.48,< LOD,300000,14767.98,174.11,< LOD,300000,< LOD,300000,3031.95,106.51,128.62,66.58,< LOD,9.38,< LOD,7.66,302.47,70.82,92.91,56.02,263185.34,1877.43,1691.33,85.92,39204.58,449.03,454.57,46.71,81.69,9.12,153.25,25.39,53.8,12.09,217.4,13.89,25.15,10.22,19.56,8.74,< LOD,12.33,649729.38,1962.11,< LOD,3.04,< LOD,8.89,< LOD,1.5,< LOD,1.5,< LOD,1.5,1931.35,954.52,< LOD,347.42,14598.64,586.77,7106.38,111.86,< LOD,4745.87
29,2617,06/01/2026 17:02,TestAll Geo,122.47,ppm,2,Final,-8mm ,ar-8.2-ya,Cu,NA,Ca,S,NA,Si,NA,NA,22.45,6.4,< LOD,12.4,598.27,18.65,< LOD,300000,6.81,3.47,< LOD,300000,569.66,37.03,< LOD,47.76,< LOD,13.13,436.89,40.54,< LOD,300000,1906.18,109.65,< LOD,155.55,271700.63,3476.99,< LOD,78.65,< LOD,82.53,5394.68,160.17,< LOD,152.65,< LOD,55.42,< LOD,53.49,568.7,106.76,< LOD,131.27,302593.5,2828.19,934.48,165.7,57048.88,619.12,269.16,86.95,< LOD,17.48,< LOD,47.75,< LOD,34.44,3339.94,96.31,< LOD,19.26,20.07,11.43,< LOD,8.72,320322.53,6464.86,< LOD,6.89,< LOD,20.72,< LOD,1.5,< LOD,1.5,< LOD,1.5,4228.07,1989.39,< LOD,299.77,24701.06,779.28,5223.88,106.2,< LOD,10631.41
30,2616,06/01/2026 16:59,TestAll Geo,120.55,ppm,2,Final,-8mm ,ar-8.1-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,4.54,101.16,12.35,5961.56,30.37,< LOD,19.12,< LOD,6.16,< LOD,7.32,191.28,13.35,< LOD,10.58,< LOD,5.95,110.92,12.88,< LOD,21.94,155.54,32,81.14,48.71,43680.66,413.96,110.97,25.19,< LOD,29.46,4633.88,124.84,403.76,64.39,< LOD,17.98,< LOD,15.38,306.49,46.35,< LOD,189,273417.22,1950.89,4369.43,200.88,51709.14,500.07,421.81,34.96,75.75,6.82,118,18.84,40.82,9.03,1074.66,18.14,31.72,8.2,18.93,6.7,< LOD,9.18,590941.75,2336.34,< LOD,3.01,< LOD,9.92,< LOD,1.5,< LOD,1.5,< LOD,1.5,2602.9,979.09,< LOD,245.38,15496.74,560.87,8554.76,115.83,< LOD,5496.3
31,2615,06/01/2026 16:55,TestAll Geo,121.14,ppm,2,Final,-8mm ,ar-7.3-ya,Cu,NA,Ca,S,NA,Si,NA,NA,6.47,3.59,73.62,11.89,4910.75,29.16,< LOD,18.05,< LOD,5.93,< LOD,7.49,154.07,12.78,< LOD,10.73,< LOD,6.23,80.2,12.15,< LOD,27.18,362.4,42.25,< LOD,93.08,71403.57,664.37,51.27,27.29,< LOD,27,2874.73,108.26,151.98,60.55,< LOD,16.37,< LOD,15.15,292.06,45.72,< LOD,187.63,355328.38,2373.04,2318.49,163.42,50338.38,524.24,289.25,38.81,33.15,7.5,37.12,20.25,< LOD,14.21,155.22,11.07,< LOD,11.76,< LOD,10.45,< LOD,10.15,482185.75,2926.63,< LOD,4.29,< LOD,10.08,< LOD,1.5,< LOD,1.5,< LOD,1.5,3219.69,1344.29,< LOD,288.94,25131.9,754.03,3042.31,78.01,< LOD,7661.81
32,2614,06/01/2026 16:51,TestAll Geo,120.13,ppm,2,Final,-8mm ,ar-7.2-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,4.39,125.59,12,6507.84,29.43,< LOD,18.47,< LOD,6.04,< LOD,7.24,268,14.28,< LOD,9.59,< LOD,5.38,101.15,13.11,28.28,12.57,288.68,25.22,< LOD,53.78,18123.4,197.77,< LOD,32.39,< LOD,31.1,7620.96,144.98,327.91,55.55,< LOD,14.15,< LOD,14.01,426.15,36.65,168.36,79.13,260614.22,1845.13,3084.64,132.29,39161.55,451.06,286.98,37.6,52.59,7.42,77.32,20.25,32.23,9.73,291.33,12.6,< LOD,12.1,13.01,7.07,< LOD,9.81,613742.06,2103.49,< LOD,2.87,< LOD,9.82,< LOD,1.5,< LOD,1.5,< LOD,1.5,6004.56,1075.48,299.5,194.09,38407.99,874.01,5406.87,97.34,< LOD,5951.95
33,2613,06/01/2026 16:48,TestAll Geo,120.72,ppm,2,Final,-8mm ,ar-7.1-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,6.71,< LOD,18.78,3128.57,49.08,< LOD,300000,< LOD,3.56,< LOD,300000,177.79,16.94,< LOD,20.47,< LOD,6.18,109.9,17.42,< LOD,300000,324.79,66.05,< LOD,129.12,168540.58,1716.39,< LOD,61.67,< LOD,50.57,1315.07,79.24,< LOD,105.73,< LOD,46.65,< LOD,40.36,310.06,91.62,< LOD,195.37,315128.19,2433.77,307.67,115.02,51894.38,554.94,240.76,60.26,36.14,8.34,< LOD,33.55,< LOD,23.5,144.84,19.15,< LOD,11.8,< LOD,15.48,< LOD,6.05,443039.97,4010.44,< LOD,4.61,< LOD,12.66,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,2234.53,< LOD,278.79,10641.44,545.36,2849.36,77.58,< LOD,9173.67
34,2612,06/01/2026 16:44,TestAll Geo,120.39,ppm,2,Final,-8mm ,ar-6.4.ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,4.17,128.23,11.58,6535.36,28.4,29.26,12.08,< LOD,5.77,< LOD,6.42,113.18,9.86,< LOD,9.42,< LOD,5.13,58.08,8.99,26.32,11.83,76.58,18.27,< LOD,48.9,12223.55,146.88,44.61,20.87,< LOD,18.11,1843.76,73.03,112.66,45.51,< LOD,12.8,< LOD,10.83,365.05,80.66,291.24,88.53,304375.16,2052.35,2106.28,125.86,123951.89,873.19,371.83,38.52,65.08,7.53,80.69,20.35,31.24,9.75,178.22,11.13,< LOD,12.33,< LOD,10.45,< LOD,9.95,526680.81,2354.26,< LOD,4.5,< LOD,8.68,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,2146.08,< LOD,316.07,13230.22,593.82,9539,142.68,< LOD,7102.08
35,2611,06/01/2026 16:40,TestAll Geo,120.73,ppm,2,Final,-8mm ,ar-6.3-ya,Cu,NA,Ca,S,NA,Si,Cl,NA,< LOD,4.44,112.62,11.28,5248.32,27.34,25.68,11.86,3.78,2.42,< LOD,7.08,191.19,12.81,< LOD,10.43,< LOD,5.77,124.8,12.53,< LOD,21.4,157,29.5,74.61,45.78,37859.3,350.57,56.8,23.59,47,17.21,3242.47,101.58,180.42,52.99,< LOD,12.32,< LOD,9.88,160.83,26.97,< LOD,99.2,219004.27,1675.61,3969.13,131.31,58157.39,549.67,264.78,38.03,43.15,7.47,58.01,20.42,16.7,9.72,1028.47,20.1,< LOD,12.98,19.25,7.5,< LOD,9.68,640794.75,2001.76,< LOD,3.1,< LOD,9.67,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,1370.92,< LOD,261.28,14647.08,570.26,16287.26,173.26,< LOD,5373.87
36,2610,06/01/2026 16:37,TestAll Geo,120.61,ppm,2,Final,-8mm ,ar-6.2-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,4.36,123.56,12.41,7168.27,30.7,21.48,12.87,< LOD,3.75,< LOD,6.66,95.88,9.62,< LOD,9.62,< LOD,5.31,40.18,8.47,29.61,11.85,< LOD,20.29,< LOD,46.74,4816.85,74.3,76.1,22.25,< LOD,18.35,1794.85,74.33,133.81,48.01,< LOD,12.23,< LOD,8.65,209.71,86.46,< LOD,133.54,333312.5,2183.27,1083.96,108.81,18934.99,318.1,470.8,41.11,79.84,7.97,134.47,22,45.05,10.41,206.42,12.04,< LOD,12.76,20.74,7.68,< LOD,10.45,614984.31,2068.72,< LOD,2.85,< LOD,9.11,< LOD,1.5,< LOD,1.5,< LOD,1.5,1992.46,1004.46,< LOD,253.71,10974.15,541.43,4976.56,94.3,< LOD,4615.6
37,2609,06/01/2026 16:33,TestAll Geo,120.42,ppm,2,Final,-8mm ,ar-6.1-ya,Cu,NA,Ca,S,NA,Si,Cl,NA,< LOD,4.35,130.07,11.81,6182.65,28.79,23.03,12.2,< LOD,5.91,< LOD,6.89,149.93,11.36,< LOD,10,< LOD,5.39,109.26,11.14,< LOD,19.82,161.69,25.91,70.95,40.59,27218.29,267.47,70.24,22.62,36.35,20.78,6670.23,136.66,183.12,51.69,< LOD,15.24,< LOD,14.11,271.16,39.29,152.05,96.65,273513.75,1909.64,3378.84,155.48,43237.61,466.25,358.18,37.04,62.31,7.25,98.26,19.9,34.21,9.47,349.74,12.89,< LOD,11.83,< LOD,10.09,< LOD,9.7,603547.44,2140.08,< LOD,2.84,< LOD,9.4,< LOD,1.5,< LOD,1.5,< LOD,1.5,2908.93,1016.32,< LOD,264,19347.73,645.54,14831.07,162.32,< LOD,5505.2
38,2608,06/01/2026 16:29,TestAll Geo,120.64,ppm,2,Final,-8mm ,ar-5.2-ya,Cu,NA,Ca,S,Sn,Si,NA,NA,< LOD,10.55,< LOD,12.8,343.27,16.03,< LOD,300000,< LOD,8.62,< LOD,300000,525.85,46.99,< LOD,65.03,< LOD,21.6,1380.88,71.72,< LOD,300000,725.84,107.58,< LOD,271.86,135466.28,2385.23,< LOD,190.16,1115.6,126.64,5531.65,263.54,< LOD,203.94,< LOD,46.1,< LOD,43.97,559.87,70.5,< LOD,38.2,47436.17,1050.56,892.11,288.07,57030.65,575.84,< LOD,604.85,< LOD,22.01,< LOD,109.98,243.96,78.44,259016.63,6139.2,< LOD,87.38,< LOD,58.46,< LOD,13.97,463152.97,9455.92,< LOD,9.16,< LOD,35.94,< LOD,1.5,< LOD,1.5,< LOD,1.5,3817.14,1362.27,< LOD,261.15,16924.44,586.92,5667.45,100.8,< LOD,7109.03
39,2607,06/01/2026 16:25,TestAll Geo,120.15,ppm,2,Final,-8mm ,ar-5.1-ya,Cu,NA,Ca,S,NA,Si,NA,NA,18.29,6.94,< LOD,14.63,805.52,25.44,< LOD,300000,< LOD,5.56,< LOD,300000,162.34,23.58,34.54,21.09,< LOD,10.17,102.86,24.46,< LOD,300000,< LOD,152.56,< LOD,200.91,319773.78,4294.38,< LOD,77.47,< LOD,62.28,1097.98,81.23,< LOD,95.77,< LOD,48.76,< LOD,43.51,126.3,61.01,< LOD,76.86,124744.92,1785.39,1511.7,172.3,142550.27,1287.29,340.42,89.29,57.29,13.54,74.26,36.38,< LOD,45.95,108.13,26.82,< LOD,16.73,37.31,12.49,< LOD,9.03,331736.75,7145.23,< LOD,7.86,< LOD,18.48,< LOD,1.5,< LOD,1.5,< LOD,1.5,4076.92,1549.63,< LOD,306.17,68647.23,1076.37,3775.94,87.68,< LOD,9897.73
40,2606,06/01/2026 16:20,TestAll Geo,120.3,ppm,2,Final,-8mm ,ar-4.3-ya,NA,NA,Ca,S,NA,Si,Cl,NA,< LOD,4.11,86.01,10.56,5714.47,26.19,< LOD,16.62,< LOD,3.39,< LOD,6.52,170.41,11.32,< LOD,8.88,< LOD,4.85,58.82,9.91,40.04,11.4,148.33,15.72,< LOD,43.24,4308.46,67.19,42.73,20.11,< LOD,17.25,1603.23,67.51,130.64,44.59,< LOD,12.79,< LOD,13,459.64,35,141.3,76.82,277561.63,1926.09,1678.72,108.61,93710.21,740.52,281.05,35.47,38.99,6.91,52.56,18.76,14.87,8.87,52.18,8.62,< LOD,11.15,< LOD,9.69,< LOD,9.1,578496.63,2171.32,< LOD,3.32,< LOD,9.18,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,1563.68,< LOD,314.41,21916.43,700.36,12456.88,156.87,< LOD,5742.12
41,2605,06/01/2026 16:16,TestAll Geo,120.59,ppm,2,Final,-8mm ,ar-4.2-ya,NA,NA,Ca,S,NA,Si,Cl,NA,< LOD,4.36,133.75,12.1,6797.67,29.7,19.04,12.47,4.12,2.48,< LOD,6.94,172.99,11.85,< LOD,9.37,< LOD,5.15,59.21,10.54,27.77,12.13,96.67,15.44,< LOD,48.16,4776.81,73.46,55.72,21.54,< LOD,17.73,1654.6,71.39,164.76,48.45,< LOD,13.09,< LOD,10.54,368.63,80.86,238.31,81.38,301063.81,2059.45,2102.46,117.97,53234.84,551.83,440.01,39.98,75.88,7.77,118.31,21.31,38.02,10.08,97.92,10.16,14.42,8.42,14.92,7.32,< LOD,10.3,570596.81,2270.42,< LOD,3.87,< LOD,9.52,< LOD,1.5,< LOD,1.5,< LOD,1.5,2539.41,1128.05,< LOD,507.45,39088.86,921.16,18012.62,193.99,< LOD,6163.29
42,2604,06/01/2026 16:13,TestAll Geo,121.78,ppm,2,Final,-8mm ,ar-4.1-ya,Cu,NA,Ca,S,NA,Si,Cl,NA,< LOD,4.22,121.15,11.57,6256.25,28.36,< LOD,17.89,< LOD,5.85,< LOD,6.58,140.88,10.9,< LOD,9.82,< LOD,5.39,78.99,10.21,32.53,13.02,252.4,23.34,< LOD,54.33,15401.21,173.95,55.77,21.79,< LOD,24.38,4372.38,109.6,206.1,50.41,< LOD,12.22,< LOD,10.98,271.83,30.51,158.08,73.54,266779,1874.68,2716.22,120.51,42725.21,466.15,486.97,41.58,85.48,8.07,108.71,21.82,42.54,10.45,289.5,13.26,< LOD,12.89,16.12,7.61,< LOD,10.61,619147.06,2050.52,< LOD,2.86,< LOD,9.11,< LOD,1.5,< LOD,1.5,< LOD,1.5,3857.87,1019.52,< LOD,283.07,26256.22,735.55,12184.67,146.36,< LOD,5285.57
43,2603,06/01/2026 16:10,TestAll Geo,120.46,ppm,2,Final,-8mm ,ar-3.4-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,6.28,< LOD,22.01,5553.47,72.62,< LOD,300000,< LOD,3.83,< LOD,300000,97.64,12.52,< LOD,15.57,< LOD,5.06,42.32,11.78,< LOD,300000,< LOD,97.21,< LOD,81.08,108725.18,1056.83,< LOD,60.57,< LOD,45.25,772.67,65.78,< LOD,89.4,< LOD,49.39,< LOD,36.87,188.44,88.71,< LOD,153.06,318766.97,2345.99,344.6,115.05,37443.81,456.03,197.82,63.27,86.44,9.64,153.04,26.67,< LOD,25.12,27.65,17.45,< LOD,12.03,< LOD,10.54,< LOD,5.49,506775.03,3224.29,< LOD,4.99,< LOD,11.63,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,3023.78,< LOD,278.74,17635.1,656.25,3429.31,81.84,< LOD,7221.71
44,2602,06/01/2026 16:06,TestAll Geo,120.2,ppm,2,Final,-8mm ,ar-3.3-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,3.74,83.15,8.46,3976.69,20.51,20.31,9.02,< LOD,2.82,< LOD,5.22,53.65,6.78,< LOD,7.73,< LOD,4.29,31.11,6.15,20.11,9.66,35.91,14.81,< LOD,39.82,8690.49,88.17,47.07,18.06,< LOD,17.75,2319.66,74.25,233.92,45.03,< LOD,15.41,< LOD,13.43,265.96,39.8,< LOD,161.05,288742.16,1811.1,1695.2,136.93,14858.05,266.55,316.04,32.11,45.83,6.24,65.55,17,22.62,8.1,59.68,7.86,11.26,6.87,10.69,5.89,< LOD,8.42,611858.88,1864.43,< LOD,3.32,< LOD,7.16,< LOD,1.5,< LOD,1.5,< LOD,1.5,1673.23,867.62,< LOD,263.77,63976.62,1055.98,1148.09,49.59,< LOD,4082.46
45,2601,06/01/2026 16:02,TestAll Geo,121.72,ppm,2,Final,-8mm ,ar-3.2-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,3.57,72.53,7.68,3571.73,18.61,22.44,8.33,3.29,1.8,< LOD,4.93,101.22,8.31,< LOD,7.51,< LOD,4.21,69.7,7.71,17.91,9.6,218.51,17.59,< LOD,39.82,7212.59,77.15,< LOD,25.7,< LOD,20.14,3846.57,89.05,111.59,38.63,< LOD,12.23,< LOD,11.52,435.13,27.98,< LOD,81.05,190700.47,1386.78,2264.7,96.07,45283.99,466.21,180.78,45.24,20.5,6.45,< LOD,25.99,< LOD,12.46,328.6,17.71,< LOD,10.65,< LOD,8.88,< LOD,8.27,702388.56,1501.88,< LOD,3.26,< LOD,6.74,< LOD,1.5,< LOD,1.5,< LOD,1.5,4167.13,845.95,< LOD,352.88,34999.95,801.97,3859.82,80.99,< LOD,3916.65
46,2600,06/01/2026 15:59,TestAll Geo,121.87,ppm,2,Final,-8mm ,ar-3.1-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,3.95,75.37,10.05,5387.66,24.98,28.42,10.82,3.28,2.17,< LOD,5.86,73.83,8.05,< LOD,8.25,< LOD,4.57,42.84,7.36,24.9,10.3,69.94,13.28,< LOD,40.46,4336.76,65.97,52.15,19.2,< LOD,17.93,2099.62,74.13,116.93,43.11,< LOD,16.95,< LOD,13.58,220.4,45.23,< LOD,197.66,338658.41,2108.48,1867,163.36,17643.03,289.72,479.72,34.97,79.77,6.75,110.56,18.38,33.67,8.68,126.96,9.23,18.6,7.42,19.95,6.49,< LOD,9.17,606680.44,1974.62,< LOD,2.56,< LOD,8.18,< LOD,1.5,< LOD,1.5,< LOD,1.5,1957.24,940.9,< LOD,253.92,19292.4,637.34,2268.69,62.64,< LOD,5030.09
47,2599,06/01/2026 15:55,TestAll Geo,121.35,ppm,2,Final,-8mm ,ar-2.4-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,7.13,< LOD,9.72,565.02,14.94,< LOD,300000,< LOD,3.67,< LOD,300000,179.89,17.99,< LOD,18.09,< LOD,5.86,93.98,18.37,< LOD,300000,< LOD,102.67,< LOD,115.21,205035.69,2117.12,< LOD,58.98,< LOD,57.27,2739.77,100.49,< LOD,79.15,< LOD,37.16,< LOD,31.34,198.02,53.06,< LOD,101.12,148654.8,1588.57,1118.66,129.05,80906.66,719.65,150.43,62.9,55.42,9.99,82.3,27.26,< LOD,27.36,951.17,36.51,< LOD,13.19,< LOD,18.61,< LOD,6.42,501923.44,4053.75,< LOD,5.04,< LOD,11.58,< LOD,1.5,< LOD,1.5,< LOD,1.5,4903.49,1195.76,< LOD,245.73,51293.93,915.71,1277.05,52.74,< LOD,11135.69
48,2598,06/01/2026 15:51,TestAll Geo,121.56,ppm,2,Final,-8mm ,ar-2.3-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,4.5,152.9,13.3,7696.52,32.67,< LOD,20.36,< LOD,6.55,< LOD,7.19,138.94,11.44,< LOD,10.15,< LOD,5.59,62.4,10.26,27.12,12.69,341.06,23.89,< LOD,52.24,9375.32,105.06,82.65,22.8,< LOD,28.82,6295.85,134.86,224.91,53.59,< LOD,15.37,< LOD,15.17,510.75,41.98,163.33,95.15,286144.34,2001.66,2109.92,134.43,53407.73,511.77,425.85,37.27,71.13,7.24,128.34,20.08,39.56,9.47,262.69,11.74,15.95,7.99,14.1,6.84,< LOD,9.68,594119.81,2228.18,< LOD,3.12,< LOD,9.99,< LOD,1.5,< LOD,1.5,< LOD,1.5,4508.29,983.48,< LOD,258.22,29908.48,736.95,4953.54,88.57,< LOD,5197.17
49,2597,06/01/2026 15:48,TestAll Geo,122.27,ppm,2,Final,-8mm ,ar-2.2-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,300000,< LOD,300000,5694.74,65.46,< LOD,300000,< LOD,300000,< LOD,300000,131.59,12.42,< LOD,300000,< LOD,300000,67.61,12.13,< LOD,300000,490.34,41.4,< LOD,300000,56187.52,545.28,< LOD,300000,< LOD,300000,2734.78,104.66,139.25,66.43,< LOD,12.72,< LOD,10.5,148.53,31.6,< LOD,130.16,343345.31,2364.47,1217.54,108.2,46251.88,496.81,402.94,47.06,63.03,9.14,110.61,25.15,31.4,11.8,103.48,12.15,< LOD,14.74,18.51,8.79,< LOD,11.75,521611.13,2789.22,< LOD,3.65,< LOD,10.89,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,1819.46,< LOD,276.64,17245.11,636.75,2919.25,77.2,< LOD,6131.67
50,2596,06/01/2026 15:44,TestAll Geo,120.27,ppm,2,Final,-8mm ,ar-2.1-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,4.24,140.49,12.42,7446.3,30.6,< LOD,19,< LOD,6.06,< LOD,6.85,116.52,10.15,11.34,6.57,< LOD,5.26,48.96,8.93,< LOD,16.83,134.65,14.88,< LOD,45.57,2921.85,57.44,80.58,21.69,< LOD,19.53,2427.33,83.04,318.17,53.57,< LOD,13.85,< LOD,11.89,398.51,100.21,210.49,110.28,373364.41,2351,1552.55,136.51,77078.29,702.64,369.49,37.09,61.25,7.23,78.62,19.57,27.33,9.31,92.68,9.49,< LOD,11.64,11.29,6.76,< LOD,9.58,512747.34,2423.45,< LOD,4.57,< LOD,9.21,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,1989.95,< LOD,331.72,17883.9,721.05,2980.35,88.18,< LOD,6985.38
51,2595,06/01/2026 15:40,TestAll Geo,120.02,ppm,2,Final,-8mm ,ar-1.4-ya,Cu,NA,Ca,S,NA,Si,NA,NA,< LOD,4.36,107.61,12.02,6614.85,29.73,< LOD,18.53,< LOD,5.99,< LOD,6.55,85.98,9.28,< LOD,9.45,< LOD,5.33,52.14,8.55,30.39,12.93,64.67,21.64,< LOD,54.94,19339.04,209.83,43.76,21.73,< LOD,19.05,2005.25,79.07,123.81,47.9,< LOD,15.64,< LOD,12.35,106.96,43.13,< LOD,199.93,380474.34,2392.71,1137.59,151.87,47361.98,515.21,264.34,35.35,46.14,6.96,58.64,18.86,14,8.89,67.73,8.88,11.63,7.67,< LOD,9.73,< LOD,9.18,524401.06,2426.51,< LOD,3.67,< LOD,8.89,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,2004.26,< LOD,283.35,11367.07,568.12,8037.87,123.94,< LOD,10092.26
52,2594,06/01/2026 15:34,TestAll Geo,120.12,ppm,2,Final,-8mm ,ar-1.3-ya,NA,NA,Ca,S,NA,Si,NA,NA,< LOD,4.47,116.31,12.43,6936.19,30.77,22.89,12.93,< LOD,6.14,< LOD,6.78,149.74,11.49,< LOD,9.95,< LOD,5.48,60.09,10.24,48.58,12.52,159.84,18.88,< LOD,47.26,7126.46,91.32,< LOD,32.6,< LOD,21.94,2886.86,93.2,120.96,47.56,< LOD,12.82,< LOD,10.32,411.72,88.84,187.98,84.69,321394.78,2201.69,2549.52,127.98,74271.38,648.48,435.17,42.75,80.76,8.37,122.95,22.89,44.33,10.89,161.97,11.93,< LOD,13.32,16.35,7.9,< LOD,10.8,559761.38,2357.24,< LOD,2.97,< LOD,9.31,< LOD,1.5,< LOD,1.5,< LOD,1.5,2165.84,1112.53,451.72,208.11,15858.35,617.16,7030.67,115.59,< LOD,6074.33
53,2593,06/01/2026 15:30,TestAll Geo,120.44,ppm,2,Final,-8mm ,ar-1.2-ya,Cu,NA,Ca,S,NA,Si,Cl,NA,16.94,4.2,< LOD,16.29,3225.72,45.53,< LOD,18.86,< LOD,4.06,< LOD,8.5,172.77,15.08,< LOD,19.05,< LOD,4.97,105.8,15.51,76.86,26.38,277.48,54.89,< LOD,76.74,137637.03,1282.83,< LOD,50.8,< LOD,75.72,2524.93,93.08,< LOD,69.3,< LOD,37.49,< LOD,46.15,173.24,60.05,< LOD,135.07,196879.23,1747.82,714.77,119.57,69976.02,627.41,< LOD,110.36,< LOD,9.07,< LOD,23.54,< LOD,18.24,138.13,15.46,< LOD,16.38,< LOD,11.51,< LOD,4.54,544113.69,3112.59,< LOD,4.53,< LOD,11.77,< LOD,1.5,< LOD,1.5,< LOD,1.5,< LOD,2735.56,< LOD,261.89,12771.35,544.17,31269.39,274,< LOD,6751.78
54,2592,06/01/2026 15:25,TestAll Geo,120.74,ppm,2,Final,-8mm ,ar-1.1-ya,Cu,NA,Ca,S,NA,Si,Cl,NA,23.34,6.31,< LOD,20.82,2435.95,52.67,< LOD,300000,< LOD,8.23,< LOD,300000,315.49,28.45,< LOD,29.14,< LOD,10.25,341.3,33.32,< LOD,300000,1194.71,101.94,251.98,98.72,269196.75,3409.2,164.64,56.05,536.02,65.37,5435.59,157.31,< LOD,100.48,< LOD,47.22,< LOD,43.6,222.57,76.22,236.27,78.83,203382.69,2264.31,677.35,150.1,161802.55,1241.67,122.2,72.73,< LOD,14.6,< LOD,39.43,< LOD,30.41,1200.23,48.57,< LOD,24.11,26.43,10.17,< LOD,7.77,315480.56,6454.11,< LOD,6.53,< LOD,23.14,< LOD,1.5,< LOD,1.5,< LOD,1.5,4965.21,1858.27,534.79,213.75,16880.25,611.89,14788.27,193.34,< LOD,11194.33
,,,,,,,,,,,,,,,,,,Mo,Mo Error,Zr,Zr Error,Sr,Sr Error,U,U Error,Rb,Rb Error,Th,Th Error,Pb,Pb Error,Au,Au Error,Se,Se Error,As,As Error,Hg,Hg Error,Zn,Zn Error,W,W Error,Cu,Cu Error,Ni,Ni Error,Co,Co Error,Fe,Fe Error,Mn,Mn Error,Cr,Cr Error,V,V Error,Ti,Ti Error,Sc,Sc Error,Ca,Ca Error,K,K Error,S,S Error,Ba,Ba Error,Cs,Cs Error,Te,Te Error,Sb,Sb Error,Sn,Sn Error,Cd,Cd Error,Ag,Ag Error,Pd,Pd Error,Bal,Bal Error,Nb,Nb Error,Bi,Bi Error,Re,Re Error,Ta,Ta Error,Hf,Hf Error,Al,Al Error,P,P Error,Si,Si Error,Cl,Cl Error,Mg,Mg Error
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
